datetime,close,high_^bvsp,low_^bvsp,open_^bvsp,volume_^bvsp,rolling_mean,lower_band,upper_band,bandas_anom,if_anom,both_anom,bandas_only,if_only,combined_or,combined_and
2023-07-14,117711.0,119329.0,117526.0,119268.0,8980000,118557.65,116525.07411030591,120590.22588969408,False,False,False,False,False,False,False
2023-07-17,118219.0,118302.0,116591.0,117711.0,8201900,118475.7,116533.72920505525,120417.67079494474,False,False,False,False,False,False,False
2023-07-18,117841.0,118732.0,117324.0,118218.0,8584800,118386.65,116503.55721641862,120269.74278358137,False,False,False,False,False,False,False
2023-07-19,117552.0,118011.0,116660.0,117842.0,9728700,118243.25,116589.2570801407,119897.2429198593,False,False,False,False,False,False,False
2023-07-20,118083.0,118290.0,117484.0,117558.0,8986400,118200.7,116578.03979300478,119823.36020699522,False,False,False,False,False,False,False
2023-07-21,120217.0,120373.0,118086.0,118090.0,11181500,118262.7,116433.53175646545,120091.86824353454,True,False,False,True,False,True,False
2023-07-24,121342.0,121772.0,120099.0,120220.0,10494800,118417.65,116128.34633432313,120706.95366567686,True,False,False,True,False,True,False
2023-07-25,122008.0,123010.0,121344.0,121344.0,11427100,118641.9,115889.7226112867,121394.07738871328,True,False,False,True,False,True,False
2023-07-26,122560.0,122747.0,121370.0,122003.0,9988800,118935.85,115832.1330924676,122039.56690753241,True,False,False,True,False,True,False
2023-07-27,119990.0,122599.0,119825.0,122560.0,10678700,119016.2,115889.62476922729,122142.7752307727,False,False,False,False,False,False,False
2023-07-28,120187.0,120660.0,119706.0,120002.0,8464200,119121.2,115984.98185506352,122257.41814493647,False,False,False,False,False,False,False
2023-07-31,121943.0,122149.0,120188.0,120188.0,10122700,119234.7,115859.22242131461,122610.17757868538,False,False,False,False,False,False,False
2023-08-01,121248.0,121945.0,120154.0,121945.0,10302800,119343.3,115851.56255885528,122835.03744114473,False,False,False,False,False,False,False
2023-08-02,120859.0,121252.0,119798.0,121249.0,10565900,119408.8,115852.26936645196,122965.33063354804,False,False,False,False,False,False,False
2023-08-03,120586.0,122619.0,120365.0,120859.0,13027300,119566.8,116101.56370669788,123032.03629330212,False,False,False,False,False,False,False
2023-08-04,119508.0,121442.0,119215.0,120586.0,15065200,119597.3,116146.13982283954,123048.46017716046,False,False,False,False,False,False,False
2023-08-07,119380.0,120104.0,118894.0,119509.0,8726500,119669.2,116304.4065770772,123033.9934229228,False,False,False,False,False,False,False
2023-08-08,119090.0,119553.0,117492.0,119378.0,10246000,119762.7,116585.78450819,122939.61549181,False,False,False,False,False,False,False
2023-08-09,118409.0,119090.0,117901.0,119090.0,11245600,119799.85,116709.9849867677,122889.71501323231,False,False,False,False,False,False,False
2023-08-10,118350.0,119438.0,118113.0,118412.0,12689600,119754.15,116604.45753213867,122903.84246786132,False,False,False,False,False,False,False
2023-08-11,118065.0,119054.0,117415.0,118350.0,11867500,119771.85,116666.83970083966,122876.86029916035,False,False,False,False,False,False,False
2023-08-14,116810.0,118082.0,116530.0,118067.0,11203500,119701.4,116390.90247657112,123011.89752342887,False,False,False,False,False,False,False
2023-08-15,116171.0,117697.0,116033.0,116809.0,14636000,119617.9,116036.65317801228,123199.14682198771,False,False,False,False,False,False,False
2023-08-16,115592.0,117338.0,115534.0,116171.0,18862600,119519.9,115608.56263818986,123431.23736181013,True,False,False,True,False,True,False
2023-08-17,114982.0,116610.0,114859.0,115592.0,12747500,119364.85,114994.73126019473,123734.96873980528,True,False,False,True,False,True,False
2023-08-18,115409.0,115729.0,114423.0,114973.0,10601000,119124.45,114434.4393177097,123814.4606822903,False,False,False,False,False,False,False
2023-08-21,114429.0,115425.0,114067.0,115404.0,9794400,118778.8,113768.86891107405,123788.73108892595,False,False,False,False,False,False,False
2023-08-22,116156.0,116286.0,114433.0,114433.0,9828500,118486.2,113588.05325701783,123384.34674298216,False,False,False,False,False,False,False
2023-08-23,118135.0,118135.0,116159.0,116160.0,11542800,118264.95,113757.41920318808,122772.48079681191,False,False,False,False,False,False,False
2023-08-24,117026.0,118136.0,116848.0,118135.0,9196200,118116.75,113653.33979207513,122580.16020792487,False,False,False,False,False,False,False
2023-08-25,115837.0,117252.0,115397.0,117025.0,9214100,117899.25,113436.6605758631,122361.8394241369,False,False,False,False,False,False,False
2023-08-28,117121.0,117253.0,115836.0,115838.0,9596900,117658.15,113614.02442149304,121702.27557850695,False,False,False,False,False,False,False
2023-08-29,118404.0,118493.0,117124.0,117124.0,9631600,117515.95,113818.13064401854,121213.76935598145,False,False,False,False,False,False,False
2023-08-30,117535.0,118841.0,117471.0,118404.0,8924000,117349.75,114002.39271559322,120697.10728440678,False,False,False,False,False,False,False
2023-08-31,115742.0,117637.0,115742.0,117537.0,12950000,117107.55,114058.43855220902,120156.66144779099,False,False,False,False,False,False,False
2023-09-01,117893.0,117991.0,115744.0,115744.0,11890700,117026.8,114165.60800695758,119887.99199304242,False,False,False,False,False,False,False
2023-09-04,117777.0,118576.0,117590.0,117893.0,5529700,116946.65,114279.80630872717,119613.49369127282,False,False,False,False,False,False,False
2023-09-05,117331.0,117957.0,116637.0,117776.0,10870700,116858.7,114380.10386933555,119337.29613066444,False,False,False,False,False,False,False
