datetime,ticker,close,rolling_mean,lower_band,upper_band,bandas_anom,if_anom,both_anom,bandas_only,if_only,combined_or,combined_and
2023-01-13,^GSPC,3999.090087890625,3868.889514160156,3748.614636672017,3989.1643916482954,1,0,0,1,0,1,0
2023-01-17,^GSPC,3990.969970703125,3873.6505126953125,3741.907118362246,4005.393907028379,0,0,0,0,0,0,0
2023-01-18,^GSPC,3928.860107421875,3877.4755126953123,3743.9053184487516,4011.045706941873,0,0,0,0,0,0,0
2023-01-19,^GSPC,3898.85009765625,3881.535021972656,3750.712434791315,4012.357609153997,0,0,0,0,0,0,0
2023-01-20,^GSPC,3972.610107421875,3889.084521484375,3755.424240590089,4022.7448023786606,0,0,0,0,0,0,0
2023-01-23,^GSPC,4019.81005859375,3896.15302734375,3750.4527804506843,4041.853274236816,0,0,0,0,0,0,0
2023-01-24,^GSPC,4016.949951171875,3905.8810302734373,3755.0280972396813,4056.7339633071933,0,0,0,0,0,0,0
2023-01-25,^GSPC,4016.219970703125,3914.451025390625,3758.805524295946,4070.0965264853044,0,0,0,0,0,0,0
2023-01-26,^GSPC,4060.429931640625,3926.0100219726564,3762.8506566399083,4089.1693873054046,0,0,0,0,0,0,0
2023-01-27,^GSPC,4070.56005859375,3940.3770263671877,3779.571720160462,4101.182332573913,0,0,0,0,0,0,0
2023-01-30,^GSPC,4017.77001953125,3948.8015258789064,3790.455658885935,4107.147392871878,0,0,0,0,0,0,0
2023-01-31,^GSPC,4076.60009765625,3960.656530761719,3801.2672072443565,4120.045854279081,0,0,0,0,0,0,0
2023-02-01,^GSPC,4119.2099609375,3975.4100341796875,3814.607688293908,4136.212380065467,0,0,0,0,0,0,0
2023-02-02,^GSPC,4179.759765625,3991.7495239257814,3817.483974172943,4166.01507367862,1,0,0,1,0,1,0
2023-02-03,^GSPC,4136.47998046875,4008.1685180664062,3845.248831939942,4171.08820419287,0,0,0,0,0,0,0
2023-02-06,^GSPC,4111.080078125,4018.9685180664064,3859.0031214456612,4178.933914687152,0,0,0,0,0,0,0
2023-02-07,^GSPC,4164.0,4032.564013671875,3871.7852161406927,4193.342811203057,0,0,0,0,0,0,0
2023-02-08,^GSPC,4117.85986328125,4042.4945068359375,3886.728369295344,4198.260644376531,0,0,0,0,0,0,0
2023-02-09,^GSPC,4081.5,4048.089001464844,3895.336707288627,4200.84129564106,0,0,0,0,0,0,0
2023-02-10,^GSPC,4090.4599609375,4053.453503417969,3902.7790514752023,4204.1279553607355,0,0,0,0,0,0,0
2023-02-13,^GSPC,4137.2900390625,4060.3635009765626,3907.526141834592,4213.200860118533,0,0,0,0,0,0,0
2023-02-14,^GSPC,4136.1298828125,4067.6214965820313,3914.8726557880123,4220.37033737605,0,0,0,0,0,0,0
2023-02-15,^GSPC,4147.60009765625,4078.55849609375,3936.707956462214,4220.409035725285,0,0,0,0,0,0,0
2023-02-16,^GSPC,4090.409912109375,4088.1364868164064,3974.268536020862,4202.00443761195,0,0,0,0,0,0,0
2023-02-17,^GSPC,4079.090087890625,4093.460485839844,3993.190673808534,4193.730297871154,0,0,0,0,0,0,0
2023-02-21,^GSPC,3997.340087890625,4092.3369873046877,3988.164895161586,4196.509079447789,0,0,0,0,0,0,0
2023-02-22,^GSPC,3991.050048828125,4091.0419921875,3982.376918968548,4199.707065406452,0,0,0,0,0,0,0
2023-02-23,^GSPC,4012.320068359375,4090.8469970703127,3981.604136690082,4200.089857450544,0,0,0,0,0,0,0
2023-02-24,^GSPC,3970.0400390625,4086.327502441406,3964.977969287669,4207.677035595143,0,0,0,0,0,0,0
2023-02-27,^GSPC,3982.239990234375,4081.9114990234375,3952.018672859386,4211.80432518749,0,0,0,0,0,0,0
2023-02-28,^GSPC,3970.14990234375,4079.5304931640626,3943.1055871225253,4215.9553992056,0,0,0,0,0,0,0
2023-03-01,^GSPC,3951.389892578125,4073.269982910156,3925.277534508925,4221.262431311387,0,0,0,0,0,0,0
2023-03-02,^GSPC,3981.35009765625,4066.376989746094,3914.6002150497966,4218.153764442391,0,0,0,0,0,0,0
2023-03-03,^GSPC,4045.639892578125,4059.67099609375,3917.4355606781264,4201.906431509374,0,0,0,0,0,0,0
2023-03-06,^GSPC,4048.419921875,4055.2679931640623,3917.667424345033,4192.868561983091,0,0,0,0,0,0,0
2023-03-07,^GSPC,3986.3701171875,4049.0324951171874,3910.7799395452503,4187.285050689125,0,0,0,0,0,0,0
2023-03-08,^GSPC,3992.010009765625,4040.432995605469,3911.1878901092487,4169.678101101689,0,0,0,0,0,0,0
2023-03-09,^GSPC,3918.320068359375,4030.456005859375,3895.688172101802,4165.223839616948,0,0,0,0,0,0,0
2023-03-10,^GSPC,3861.590087890625,4019.4605102539062,3867.4470459845793,4171.473974523233,1,0,0,1,0,1,0
2023-03-13,^GSPC,3855.760009765625,4007.7255126953123,3843.0784120768867,4172.372613313738,0,0,0,0,0,0,0
2023-03-14,^GSPC,3919.2900390625,3996.8255126953127,3839.59699092313,4154.0540344674955,0,0,0,0,0,0,0
2023-03-15,^GSPC,3891.929931640625,3984.615515136719,3835.2029581627667,4134.028072110671,0,0,0,0,0,0,0
2023-03-16,^GSPC,3960.280029296875,3975.24951171875,3846.847729313032,4103.651294124468,0,0,0,0,0,0,0
2023-03-17,^GSPC,3916.639892578125,3966.5610107421876,3847.8160803490205,4085.3059411353547,0,0,0,0,0,0,0
2023-03-20,^GSPC,3951.570068359375,3960.185009765625,3853.833487145239,4066.5365323860115,0,0,0,0,0,0,0
2023-03-21,^GSPC,4002.8701171875,3960.4615112304687,3853.6753897870653,4067.247632673872,0,0,0,0,0,0,0
2023-03-22,^GSPC,3936.969970703125,3957.7575073242188,3851.4951499421445,4064.019864706293,0,0,0,0,0,0,0
2023-03-23,^GSPC,3948.719970703125,3954.577502441406,3851.4292940856644,4057.7257107971477,0,0,0,0,0,0,0
2023-03-24,^GSPC,3970.989990234375,3954.625,3851.445941731395,4057.804058268605,0,0,0,0,0,0,0
2023-03-27,^GSPC,3977.530029296875,3954.389501953125,3851.454617779196,4057.3243861270544,0,0,0,0,0,0,0
2023-03-28,^GSPC,3971.27001953125,3954.4455078125,3851.473305917617,4057.4177097073834,0,0,0,0,0,0,0
2023-03-29,^GSPC,4027.81005859375,3958.2665161132813,3850.2250312321053,4066.3080009944574,0,0,0,0,0,0,0
2023-03-30,^GSPC,4050.830078125,3961.740515136719,3846.3552478531624,4077.1257824202753,0,0,0,0,0,0,0
2023-03-31,^GSPC,4109.31005859375,3964.9240234375,3836.964054637219,4092.8839922377815,1,0,0,1,0,1,0
2023-04-03,^GSPC,4124.509765625,3968.728515625,3826.578194514929,4110.878836735071,1,0,0,1,0,1,0
2023-04-04,^GSPC,4100.60009765625,3974.4400146484377,3820.605959059205,4128.2740702376705,0,0,0,0,0,0,0
2023-04-05,^GSPC,4090.3798828125,3979.358508300781,3817.0995399584444,4141.617476643118,0,0,0,0,0,0,0
2023-04-06,^GSPC,4105.02001953125,3988.693505859375,3819.8708636378733,4157.5161480808765,0,0,0,0,0,0,0
2023-04-10,^GSPC,4109.10986328125,4001.0694946289063,3835.2149801851506,4166.924009072662,0,0,0,0,0,0,0
2023-04-11,^GSPC,4108.93994140625,4013.7284912109376,3856.1294978772835,4171.327484544591,0,0,0,0,0,0,0
2023-04-12,^GSPC,4091.949951171875,4022.3614868164063,3867.6547992355063,4177.068174397306,0,0,0,0,0,0,0
2023-04-13,^GSPC,4146.22021484375,4035.0760009765627,3883.7432044948664,4186.408797458259,0,0,0,0,0,0,0
2023-04-14,^GSPC,4137.64013671875,4043.9440063476563,3890.297243449659,4197.590769245654,0,0,0,0,0,0,0
2023-04-17,^GSPC,4151.31982421875,4055.6780029296874,3907.2091139872864,4204.146891872088,0,0,0,0,0,0,0
2023-04-18,^GSPC,4154.8701171875,4065.8430053710936,3919.5639856351827,4212.122025107004,0,0,0,0,0,0,0
2023-04-19,^GSPC,4154.52001953125,4073.425500488281,3925.182092028514,4221.668908948048,0,0,0,0,0,0,0
2023-04-20,^GSPC,4129.7900390625,4083.06650390625,3947.6650467248387,4218.467961087662,0,0,0,0,0,0,0
2023-04-21,^GSPC,4133.52001953125,4092.306506347656,3971.0209383812667,4213.592074314046,0,0,0,0,0,0,0
2023-04-24,^GSPC,4137.0400390625,4100.6090087890625,3992.2449453470454,4208.97307223108,0,0,0,0,0,0,0
2023-04-25,^GSPC,4071.6298828125,4105.314001464843,4012.377380055859,4198.250622873828,0,0,0,0,0,0,0
2023-04-26,^GSPC,4055.989990234375,4109.55,4036.8096985458274,4182.290301454173,0,0,0,0,0,0,0
2023-04-27,^GSPC,4135.35009765625,4114.927001953125,4052.45350705589,4177.4004968503605,0,0,0,0,0,0,0
2023-04-28,^GSPC,4169.47998046875,4120.8594970703125,4061.5606548226374,4180.158339317988,0,0,0,0,0,0,0
2023-05-01,^GSPC,4167.8701171875,4123.7875,4061.1980774227186,4186.376922577282,0,0,0,0,0,0,0
2023-05-02,^GSPC,4119.580078125,4123.541015625,4060.924747722957,4186.157283527044,0,0,0,0,0,0,0
2023-05-03,^GSPC,4090.75,4123.048510742187,4059.524127449031,4186.572894035344,0,0,0,0,0,0,0
2023-05-04,^GSPC,4061.219970703125,4121.590515136719,4053.719253666309,4189.461776607129,0,0,0,0,0,0,0
2023-05-05,^GSPC,4136.25,4123.152014160156,4055.449153733343,4190.854874586969,0,0,0,0,0,0,0
2023-05-08,^GSPC,4138.1201171875,4124.602526855469,4056.9233306618535,4192.281723049084,0,0,0,0,0,0,0
2023-05-09,^GSPC,4119.169921875,4125.114025878906,4057.779490161043,4192.44856159677,0,0,0,0,0,0,0
2023-05-10,^GSPC,4137.64013671875,4127.39853515625,4061.721684271027,4193.0753860414725,0,0,0,0,0,0,0
2023-05-11,^GSPC,4130.6201171875,4126.6185302734375,4061.5148294527185,4191.722231094157,0,0,0,0,0,0,0
2023-05-12,^GSPC,4124.080078125,4125.94052734375,4061.0379923047003,4190.843062382799,0,0,0,0,0,0,0
2023-05-15,^GSPC,4136.27978515625,4125.188525390625,4061.181795625462,4189.195255155788,0,0,0,0,0,0,0
2023-05-16,^GSPC,4109.89990234375,4122.940014648438,4060.1760943987583,4185.703934898117,0,0,0,0,0,0,0
2023-05-17,^GSPC,4158.77001953125,4123.152514648437,4059.911438022615,4186.39359127426,0,0,0,0,0,0,0
2023-05-18,^GSPC,4198.0498046875,4126.565502929688,4054.996782968113,4198.134222891262,0,0,0,0,0,0,0
2023-05-19,^GSPC,4191.97998046875,4129.488500976562,4052.1788730824305,4206.798128870693,0,0,0,0,0,0,0
2023-05-22,^GSPC,4192.6298828125,4132.267993164062,4049.9783954066124,4214.557590921512,0,0,0,0,0,0,0
2023-05-23,^GSPC,4145.580078125,4135.965502929687,4058.6530206116977,4213.277985247677,0,0,0,0,0,0,0
2023-05-24,^GSPC,4115.240234375,4138.928015136718,4070.4871544811517,4207.368875792285,0,0,0,0,0,0,0
2023-05-25,^GSPC,4151.27978515625,4139.724499511719,4071.0884706631527,4208.360528360285,0,0,0,0,0,0,0
2023-05-26,^GSPC,4205.4501953125,4141.523010253906,4067.900099360199,4215.145921147613,0,0,0,0,0,0,0
2023-05-30,^GSPC,4205.52001953125,4143.405505371094,4065.1654521131904,4221.645558628997,0,0,0,0,0,0,0
2023-05-31,^GSPC,4179.830078125,4146.418005371093,4067.40468393944,4225.431326802746,0,0,0,0,0,0,0
2023-06-01,^GSPC,4221.02001953125,4152.931506347656,4071.7912530201897,4234.071759675123,0,0,0,0,0,0,0
2023-06-02,^GSPC,4282.3701171875,4163.989013671875,4075.5276070239884,4252.450420319762,1,0,0,1,0,1,0
2023-06-05,^GSPC,4273.7900390625,4170.866015625,4070.8537043889783,4270.878326861021,1,0,0,1,0,1,0
2023-06-06,^GSPC,4283.85009765625,4178.152514648437,4067.515180165803,4288.789849131072,0,0,0,0,0,0,0
2023-06-07,^GSPC,4267.52001953125,4185.57001953125,4071.7371216254746,4299.402917437026,0,0,0,0,0,0,0
2023-06-08,^GSPC,4293.93017578125,4193.384521484375,4072.185700882745,4314.583342086004,0,0,0,0,0,0,0
