datetime,close,high_^mxx,low_^mxx,open_^mxx,volume_^mxx,rolling_mean,lower_band,upper_band,bandas_anom,if_anom,both_anom,bandas_only,if_only,combined_or,combined_and
2024-01-26,56855.87890625,57164.078125,56178.7109375,56321.37890625,209368000,55672.109765625,54169.62516193594,57174.59436931406,False,False,False,False,False,False,False
2024-01-29,57175.73046875,57229.3203125,56806.23046875,56813.73046875,214253500,55661.5837890625,54207.49210458302,57115.675473541974,True,False,False,True,False,True,False
2024-01-30,57537.140625,57612.01171875,56711.94140625,57151.1796875,265265700,55689.41875,54112.87023424232,57265.967265757674,True,False,False,True,False,True,False
2024-01-31,57372.76171875,57829.01171875,57051.87890625,57449.58984375,232735200,55771.7248046875,54024.37058477605,57519.079024598956,False,False,False,False,False,False,False
2024-02-01,57828.078125,58221.171875,57367.28125,57367.28125,178933700,55892.7806640625,53929.6806433313,57855.880684793694,False,False,False,False,False,False,False
2024-02-02,58226.76953125,58273.171875,57744.33984375,58012.87890625,166980800,55994.480078125,53772.29451108073,58216.665645169276,True,False,False,True,False,True,False
2024-02-06,58645.421875,59015.3984375,57782.69921875,58271.75,266012200,56117.967578125,53598.74902809621,58637.186128153786,True,False,False,True,False,True,False
2024-02-07,58711.87109375,59020.55078125,58382.76171875,58625.9296875,182573800,56298.2822265625,53576.09925645257,59020.46519667243,False,False,False,False,False,False,False
2024-02-08,57762.44140625,58856.23046875,57700.6015625,58856.23046875,251848900,56420.470703125,53664.258360469736,59176.683045780264,False,False,False,False,False,False,False
2024-02-09,57327.5,57908.33984375,57287.33984375,57832.4296875,130498900,56514.908203125,53770.92287448941,59258.89353176059,False,False,False,False,False,False,False
2024-02-12,57418.55078125,57802.23828125,57294.71875,57339.96875,173539100,56605.4822265625,53868.09043117894,59342.87402194605,False,False,False,False,False,False,False
2024-02-13,56906.98828125,57382.48046875,56812.640625,57277.7890625,168142700,56675.776171875,53986.00285027332,59365.549493476676,False,False,False,False,False,False,False
2024-02-14,57248.46875,57318.62109375,56872.37890625,56872.37890625,202355300,56781.970703125,54183.91886957284,59380.02253667716,False,False,False,False,False,False,False
2024-02-15,57251.890625,57612.69921875,57160.6015625,57216.578125,212858400,56908.9806640625,54495.24644946028,59322.71487866472,False,False,False,False,False,False,False
2024-02-16,57132.109375,57421.96875,56987.421875,57224.2109375,158971900,57030.1916015625,54849.64684523194,59210.73635789307,False,False,False,False,False,False,False
2024-02-19,57490.05078125,57567.390625,56804.671875,57205.05859375,34690500,57132.0890625,55075.079288142675,59189.09883685733,False,False,False,False,False,False,False
2024-02-20,57227.671875,57602.2109375,57119.359375,57250.19921875,233605200,57260.0921875,55561.398962210726,58958.78541278927,False,False,False,False,False,False,False
2024-02-21,57021.03125,57269.12890625,56782.80859375,57257.078125,197674400,57335.998828125,55844.93155972207,58827.066096527924,False,False,False,False,False,False,False
2024-02-22,57148.73046875,57407.390625,56773.55078125,57024.26171875,207938900,57422.4578125,56228.31590104832,58616.59972395167,False,False,False,False,False,False,False
2024-02-23,56659.80078125,57205.828125,56432.609375,57187.19921875,216265500,57447.4443359375,56347.30866800282,58547.58000387218,False,False,False,False,False,False,False
2024-02-26,56194.71875,56649.421875,56035.75,56649.421875,214213000,57414.386328125,56205.08614634997,58623.686509900035,True,False,False,True,False,True,False
2024-02-27,56241.03125,56399.0703125,55915.87109375,56192.96875,217701900,57367.6513671875,56051.95220908769,58683.35052528731,False,False,False,False,False,False,False
2024-02-28,55350.609375,56268.98046875,55085.80078125,56233.828125,208760600,57258.3248046875,55667.34753806376,58849.30207131124,True,False,False,True,False,True,False
2024-02-29,55414.0,55719.8984375,55111.0,55375.19140625,506671300,57160.38671875,55370.365139745525,58950.408297754475,False,False,False,False,False,False,False
2024-03-01,55536.3203125,55984.87109375,55184.8515625,55396.30078125,152945900,57045.798828125,55145.71494423959,58945.88271201041,False,False,False,False,False,False,False
2024-03-04,55462.48828125,55852.78125,55411.08984375,55451.05078125,147751600,56907.584765625,54967.474509273234,58847.69502197676,False,False,False,False,False,False,False
2024-03-05,55476.25,55647.30859375,55104.62109375,55450.03125,177401700,56749.126171875,54890.68364589806,58607.568697851944,False,False,False,False,False,False,False
2024-03-06,55284.51171875,55757.23046875,55217.91015625,55464.05078125,163414700,56577.758203125,54854.17691254397,58301.33949370603,False,False,False,False,False,False,False
2024-03-07,55049.48828125,55494.12109375,54978.640625,55305.7109375,168372600,56442.110546875,54684.4141992706,58199.80689447941,False,False,False,False,False,False,False
2024-03-08,54935.98828125,55313.859375,54890.26171875,55134.62890625,134726600,56322.5349609375,54494.47118688155,58150.598734993444,False,False,False,False,False,False,False
2024-03-11,55076.12109375,55373.859375,54752.41015625,54876.609375,190194700,56205.4134765625,54372.86681441673,58037.960138708266,False,False,False,False,False,False,False
2024-03-12,54898.94921875,55199.6015625,54713.48046875,55145.2890625,203210800,56105.0115234375,54215.17108828983,57994.85195858516,False,False,False,False,False,False,False
2024-03-13,55848.71875,55881.671875,54853.51953125,54902.30859375,205029200,56035.0240234375,54221.34287652695,57848.705170348054,False,False,False,False,False,False,False
2024-03-14,56059.26171875,56427.4296875,55838.3203125,55838.3203125,226717800,55975.392578125,54254.09920626131,57696.68594998869,False,False,False,False,False,False,False
2024-03-15,56228.3984375,56575.51171875,55855.16015625,56163.26171875,935202200,55930.20703125,54291.29049659853,57569.12356590147,False,False,False,False,False,False,False
